Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.58252716,96.11650848,96.13526917,96.6183548,96.15384674,88.62559509,88.1516571,93.83885956,93.3649292,94.78672791,92.38095093,92.38095093,93.33333588,95.23809814,95.28302002,95.75471497,96.22641754,97.16981506,97.64151001
Africa Eastern and Southern,AFE,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.127659559,,0.53191489,,0.529100537,,1.587301612,2.010050297,1.941747546,2.427184582,1.449275374,1.449275374,0.480769217,0.473933637,1.421800971,1.421800971,1.895734549,1.421800971,2.857142925,0.952380955,0.952380955,0.476190478,0.471698105,0.943396211,0.471698105,1.415094376,0.471698105
Africa Western and Central,AFW,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.723404169,,1.06382978,,1.587301612,,9.523809433,19.59799004,16.5048542,21.35922241,28.01932335,24.1545887,31.25,32.70142365,37.91469193,34.59715652,35.0710907,35.0710907,32.8571434,28.09523773,33.33333206,30.47619057,34.90565872,31.60377312,24.52830124,21.22641563,22.64151001
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.63829803,,28.72340393,,29.62962914,,33.86243439,36.18090439,30.09708786,29.61165047,29.95169067,37.68115997,43.26922989,42.18009567,38.3886261,37.44075775,40.28435898,49.28910065,61.42856979,58.09523773,57.61904907,59.52381134,58.49056625,51.88679123,50,52.35848999,50.47169876
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.36170197,,90.42552948,,86.77248383,,92.59259033,98.49246216,98.05825043,99.02912903,98.55072784,98.55072784,98.07691956,94.31279755,93.83885956,95.73459625,94.78672791,93.83885956,96.66666412,97.61904907,97.14286041,97.14286041,97.16981506,98.58490753,99.05660248,98.58490753,98.58490753
Arab World,ARB,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.19149017,,76.06382751,,80.42327881,,80.95237732,81.40703583,73.30097198,74.75727844,77.77777863,80.67633057,69.71154022,79.62084961,73.93364716,73.93364716,73.4597168,74.8815155,71.90476227,70,64.76190186,66.66666412,68.86792755,69.3396225,65.09433746,65.09433746,70.28302002
Argentina,ARG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.06383133,,39.36170197,,50.26454926,,22.7513237,35.17588043,26.21359253,44.17475891,45.89371872,46.85990524,40.86538315,36.96682358,42.65402985,52.13270187,49.28910065,48.3412323,45.7142868,46.19047546,52.8571434,53.33333206,47.16981125,43.86792374,45.28302002,47.64151001,46.69811249
Armenia,ARM,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.04255295,,25,,25.92592621,,37.56613922,51.75879288,40.77669907,42.71844482,38.16424942,47.82608795,44.23077011,52.60663605,49.76303482,44.07582855,51.18483353,50.23696518,35.7142868,37.1428566,22.38095284,25.23809433,29.71698189,30.18867874,20.28301811,18.86792374,17.92452812
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.33009338,68.44660187,68.11594391,80.1932373,80.7692337,82.46445465,80.0947876,74.40758514,78.67298889,76.7772522,89.04762268,90.95237732,91.42857361,91.90476227,91.03773499,90.56604004,87.73584747,87.73584747,91.03773499
Antigua and Barbuda,ATG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.74468231,,72.34042358,,72.48677063,,73.01587677,74.87437439,84.46601868,73.78640747,71.98067474,75.84541321,75,71.5639801,79.14691925,79.62084961,80.56871796,79.62084961,81.42857361,83.33333588,75.7142868,70.95237732,73.11320496,79.71697998,79.71697998,82.54717255,82.54717255
Australia,AUS,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.27659607,,82.97872162,,93.12169647,,89.41799164,75.87939453,78.64077759,76.21359253,78.74396515,78.74396515,80.28845978,76.7772522,78.1990509,74.8815155,82.46445465,83.412323,85.23809814,76.19047546,87.61904907,77.61904907,83.49056244,78.30188751,74.52830505,75.47169495,81.60377502
Austria,AUT,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.80850983,,85.63829803,,76.19047546,,94.708992,80.40200806,84.95145416,86.40776825,86.47342682,96.13526917,98.55769348,90.99526215,89.09952545,91.4691925,96.20853424,96.20853424,95.23809814,90,77.14286041,85.23809814,77.35848999,77.35848999,76.88679504,79.24528503,68.86792755
Azerbaijan,AZE,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.27659607,,22.87234116,,20.1058197,,17.46031761,21.10552788,16.9902916,16.9902916,16.42512131,25.60386467,32.69230652,35.54502487,36.4928894,29.85782051,23.22274971,33.64928818,26.19047546,21.90476227,18.09523773,19.52380943,20.75471687,22.64151001,17.45282936,18.39622688,15.56603813
Burundi,BDI,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.191489458,,1.595744729,,2.116402149,,0.529100537,1.507537723,0.970873773,7.281553268,9.178744316,9.66183567,9.134614944,12.79620838,6.635071278,4.739336491,5.687203884,8.530805588,20.47619057,5.714285851,5.714285851,4.285714149,7.547169685,7.075471878,8.962264061,11.320755,12.73584938
Belgium,BEL,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.02127838,,81.9148941,,83.59788513,,91.53439331,74.37185669,71.8446579,70.38835144,73.91304016,72.46376801,67.78845978,75.35545349,74.40758514,78.1990509,76.30331421,77.72512054,69.52381134,64.2857132,61.42856979,62.38095093,59.43396378,60.84905624,64.15093994,67.45282745,65.56604004
Benin,BEN,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.57447052,,72.87233734,,74.6031723,,73.54497528,69.34673309,54.36893082,61.16504669,63.28502274,57.97101593,56.73077011,60.1895752,53.55450058,57.34597015,58.2938385,58.2938385,47.1428566,44.76190567,47.1428566,47.61904907,40.56603622,29.71698189,31.60377312,32.07546997,33.01886749
Burkina Faso,BFA,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.23404312,,40.95744705,,48.67724991,,33.33333206,45.72864151,42.23300934,43.20388412,50.72463608,54.58937073,49.03845978,45.97156525,41.23222733,28.90995216,27.01421738,21.80094719,20,25.23809433,16.66666603,15.23809528,13.20754719,11.79245281,9.433961868,7.547169685,8.018867493
Bangladesh,BGD,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.59574509,,33.51063919,,24.86772537,,19.04761887,16.58291435,10.19417477,4.368932247,8.695652008,9.178744316,9.615385056,9.004739761,9.952606201,9.004739761,9.004739761,7.582938194,16.66666603,10,10.95238113,10.47619057,14.15094376,15.56603813,15.56603813,14.15094376,13.20754719
Bulgaria,BGR,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.68085098,,66.48936462,,61.90476227,,64.02116394,49.74874496,45.14562988,51.45631027,57.48792267,56.0386467,56.25,55.92417145,57.81990433,55.92417145,58.76777267,53.08057022,49.52381134,46.66666794,49.04761887,59.04761887,61.79245377,66.03773499,58.49056625,58.01886749,52.35848999
Bahrain,BHR,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.70212936,,38.29787064,,48.14814758,,54.4973526,62.31155777,55.82524109,46.60194016,32.36714935,36.71497726,36.53845978,40.75829315,28.90995216,18.95734596,15.63981056,9.004739761,15.71428585,12.85714245,19.52380943,14.28571415,17.45282936,23.11320686,24.05660439,27.83018875,30.6603775
"Bahamas, The",BHS,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.63829803,,85.10638428,,91.0052948,,82.53968048,72.36180878,77.1844635,78.1553421,72.46376801,71.01449585,72.59615326,77.25118256,83.88625336,88.1516571,90.52132416,90.52132416,79.04762268,77.14286041,80,81.42857361,76.41509247,74.05660248,73.11320496,76.41509247,79.24528503
Bosnia and Herzegovina,BIH,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.53191566,,27.65957451,,30.15872955,,40.74074173,32.66331482,45.63106918,30.58252335,31.40096664,25.12077332,27.88461494,23.69668198,24.64455032,20.37914658,28.4360199,34.12322235,44.76190567,31.90476227,30.95238113,32.38095093,31.60377312,29.24528313,30.6603775,30.6603775,29.71698189
Belarus,BLR,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,50,,51.85185242,,56.61375809,69.84924316,51.45631027,56.31068039,50.24154663,55.07246399,62.5,62.55924225,42.18009567,42.18009567,47.86729813,46.44549942,52.8571434,51.90476227,51.42856979,43.33333206,57.54716873,58.49056625,16.98113251,19.81132126,18.39622688
Belize,BLZ,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.36170197,,67.02127838,,53.96825409,,62.43386078,63.31658173,60.19417572,49.02912521,48.79227066,49.75845337,50.96154022,45.49763107,49.28910065,51.6587677,52.13270187,53.55450058,48.09523773,49.04761887,48.57143021,48.09523773,46.22641373,50.47169876,63.679245,55.18867874,59.43396378
Bermuda,BMU,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.74468231,,72.34042358,,72.48677063,,73.01587677,73.86934662,77.66990662,72.33009338,70.04830933,72.94686127,73.07691956,70.61611176,79.62084961,80.0947876,81.5165863,81.04265594,77.61904907,81.42857361,82.85713959,82.85713959,90.09433746,86.79244995,83.01886749,83.96226501,84.43395996
Bolivia,BOL,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0851059,,35.63829803,,37.0370369,,34.92063522,22.61306572,23.78640747,19.41747665,22.70531464,19.32367134,23.55769157,28.4360199,32.22748947,33.175354,33.175354,36.4928894,33.33333206,36.66666794,36.66666794,34.76190567,36.79245377,20.28301811,29.24528313,36.79245377,36.320755
Brazil,BRA,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.82978821,,34.04255295,,53.43915176,,57.1428566,41.70854187,36.40776825,37.86407852,35.26570129,32.85024261,33.65384674,51.18483353,45.97156525,41.23222733,46.44549942,36.96682358,42.8571434,34.2857132,31.90476227,29.52380943,29.24528313,20.75471687,31.13207626,31.13207626,33.96226501
Barbados,BRB,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.57447052,,84.57447052,,85.18518829,,86.24338531,78.89447021,85.92233276,86.89320374,77.29468536,85.02415466,86.53845978,85.78199005,87.20378876,93.3649292,90.99526215,92.41706085,95.7142868,89.04762268,80.47618866,79.52381134,78.77358246,84.90566254,88.679245,90.09433746,91.50943756
Brunei Darussalam,BRN,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.42552948,,86.17021179,,92.59259033,,87.30158997,86.93467712,97.57281494,91.26213837,89.85507202,90.82125854,89.90384674,97.15639496,93.3649292,86.7298584,75.35545349,87.20378876,94.76190186,93.80952454,90.95237732,89.52381134,92.45282745,88.679245,92.92453003,91.50943756,94.81131744
Bhutan,BTN,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.27659607,,65.42552948,,68.25396729,,69.84127045,78.89447021,91.74757385,92.71844482,94.68598938,65.70048523,70.19230652,73.93364716,71.5639801,71.09004974,71.5639801,70.1421814,88.57142639,80.47618866,89.52381134,88.09523773,88.20755005,87.73584747,84.90566254,72.64151001,76.88679504
Botswana,BWA,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.78723145,,80.3191452,,82.01058197,,76.71957397,85.42713928,78.1553421,83.00971222,81.64250946,85.50724792,84.61538696,82.93838501,83.412323,85.30805969,88.62559509,88.1516571,84.2857132,86.19047546,84.2857132,84.76190186,82.07546997,88.20755005,83.96226501,86.79244995,87.26415253
Central African Republic,CAF,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.70212746,,13.82978725,,15.34391499,,4.761904716,8.040201187,8.737864494,9.708738327,5.314009666,5.797101498,6.25,4.739336491,3.791469097,5.213270187,5.213270187,3.317535639,0.476190478,6.666666508,7.142857075,5.238095284,3.773584843,4.245283127,2.830188751,4.245283127,4.245283127
